DATE/TIME,CODE,SPACE,FLOOR,EVENT
1/9/2023 9:32:54 AM,SI61ZC02BSF/DC03 ,027009061,SF/DC03 TP1,Occupied
1/9/2023 9:32:44 AM,SI60ZC01BSF/DC03 ,027008060,SF/DC03 TP1,Occupied
1/9/2023 9:32:34 AM,SI65ZC02ASF/DC03 ,027007065,SF/DC03 TP1,Occupied
1/9/2023 9:32:33 AM,SI64ZC02BSF/DC03 ,027009064,SF/DC03 TP1,Occupied
1/9/2023 9:32:14 AM,SI45ZC01ASF/DC03 ,027006045,SF/DC03 TP1,Occupied
1/9/2023 9:32:06 AM,SI55ZC01BSF/DC03 ,027008055,SF/DC03 TP1,Occupied
1/9/2023 9:31:47 AM,SI54ZC01BSF/DC03 ,027008054,SF/DC03 TP1,Occupied
1/9/2023 9:31:13 AM,SI37ZC01BSF/DC03 ,027008037,SF/DC03 TP1,Occupied
1/9/2023 9:30:05 AM,SI75ZC01BSF/DC03 ,027008075,SF/DC03 TP1,Occupied
1/9/2023 9:29:59 AM,SI49ZC02ASF/DC03 ,027007049,SF/DC03 TP1,Occupied
1/9/2023 9:29:54 AM,SI32ZC01BSF/DC03 ,027008032,SF/DC03 TP1,Occupied
1/9/2023 9:29:42 AM,SI35ZC01BSF/DC03 ,027008035,SF/DC03 TP1,Occupied
1/9/2023 9:29:32 AM,SI34ZC02ASF/DC03 ,027007034,SF/DC03 TP1,Occupied
1/9/2023 9:28:58 AM,SI53ZC02ASF/DC03 ,027007053,SF/DC03 TP1,Occupied
1/9/2023 9:28:45 AM,SI39ZC01BSF/DC03 ,027008039,SF/DC03 TP1,Occupied
1/9/2023 9:28:31 AM,SI64ZC02ASF/DC03 ,027007064,SF/DC03 TP1,Occupied
1/9/2023 9:28:24 AM,SI52ZC01BSF/DC03 ,027008052,SF/DC03 TP1,Occupied
1/9/2023 9:28:13 AM,SI01ZC01BSF/DC03 ,027008001,SF/DC03 TP1,Occupied
1/9/2023 9:28:01 AM,SI67ZC02ASF/DC03 ,027007067,SF/DC03 TP1,Occupied
1/9/2023 9:27:48 AM,SI30ZC01BSF/DC03 ,027008030,SF/DC03 TP1,Occupied
1/9/2023 9:27:44 AM,SI02ZC01BSF/DC03 ,027008002,SF/DC03 TP1,Occupied
1/9/2023 9:27:27 AM,SI20ZC02BSF/DC03 ,027009020,SF/DC03 TP1,Occupied
